goalkeeper,shots_faced,avg_bisector_error,avg_depth,avg_occlusion,avg_model_prob,avg_shap_risk,total_gsaa,gsaa_per_shot,z_prob,z_bisector,z_gsaa,calibrated_scouting_score
Shimeng Peng,25,0.44491543616892393,1.240000000000001,1.64,0.06296320804,-0.020868152952,1.697005864,0.06788023456,1.5586979056321635,1.4246849165937636,1.467000622411123,1.4909848239543315
Damián Emiliano Martínez,29,0.5169327335967978,2.034482758620689,1.2758620689655173,0.04823926737931034,-0.013894867996551723,1.2698643108,0.04378842451034483,2.0492630297561556,1.075344469591954,0.9924949784321712,1.4400570463096998
Antonio Mirante,25,0.5848864376979338,2.2239999999999998,1.6,0.039539794760000004,-0.00452946792,0.9569749963,0.038278999852,2.3391078453291456,0.7457156413247676,0.8839828703724928,1.4245526916408364
Julio José González Vela-Alvizu,31,0.6207882520170864,2.112903225806453,1.7096774193548387,0.03942475406451613,0.010550352806451613,1.167149325,0.03764997822580645,2.3429407155070345,0.5715636485345682,0.8715938339655778,1.3701235309528577
Catalina Thomas Coll Lluch,38,0.4734462530742615,1.9657894736842114,1.2894736842105263,0.07240409455263158,0.003779237371052632,1.6803565519,0.04421990926052632,1.2441510210284659,1.2862880496324693,1.0009933830281719,1.1838448382095788
Josimar José Évora Dias,25,0.669069326250128,1.4119999999999993,1.28,0.07238293412,-0.04105776454,2.2111621839,0.088446487356,1.2448560340748809,0.33736252385073345,1.8720678633982557,1.160771529804649
Ronwen Williams,44,0.5576232499725418,1.7795454545454548,1.1363636363636365,0.10871703309090909,-0.028837676543181822,6.2301814879999995,0.1415950338181818,0.03429412117713074,0.8779635113065761,2.918866971211402,1.1527667932262458
Simon Mignolet,30,0.48767609907237497,2.5199999999999982,1.6,0.0918201769,1.0067850000000656e-05,2.5380807475,0.08460269158333333,0.5972553925933332,1.2172621219832622,1.7963615223357303,1.142989250333031
Shūichi Gonda,37,0.4305407608177271,2.1000000000000005,1.2432432432432432,0.08326063213513514,-0.01343922401891892,1.842231629,0.049790044027027025,0.8824381596790106,1.4944133803384942,1.1107012206286015,1.1345096441617328
Adilson Cipriano da Cruz,34,0.3785496186218951,1.8764705882352941,1.411764705882353,0.07028918882352941,-0.023816400047058824,0.10658713000000006,0.003134915588235296,1.314614425861215,1.7466112481218088,0.19179468271629374,1.1073675495959168
Manuel Herrera Yagüe,23,0.6891902515586795,1.4869565217391325,1.434782608695652,0.06351396091304348,0.027508981606521737,1.4369175607,0.06247467655217391,1.5403481881378818,0.23976023533915658,1.3605342432439915,1.0962276188300972
Giuliano Giuliani,23,0.6913113297958203,1.1608695652173922,1.6956521739130435,0.03107900991304348,-0.00652904056521739,-0.28346805599999997,-0.01232469808695652,2.6210001772994116,0.2294713402271083,-0.11269360303281702,1.0834333920780521
Camelia Ceasar,46,0.5819609106301676,1.3826086956521744,1.3478260869565217,0.06823505982608695,-0.002866732454347826,1.9963207861999999,0.04339827796086956,1.383052900982715,0.7599067449911177,0.9848107596323648,1.0766364117801306
Benjamin Lecomte,20,0.5945623044054106,2.750000000000002,1.4,0.0789706349,0.0186353439,1.392842141,0.06964210705,1.025370209912299,0.6987800894303753,1.501701976886073,1.0702927038598542
