goalkeeper,shot_x,shot_y,gk_x,gk_y,shot_dist,shot_angle,angle_zone,bisector_dist,gk_depth,occlusion_count,pre_shot_xg,is_goal,model_goal_prob,positional_gsaa,shap_bisector_impact
Frederik Rønnow,107.0,53.4,117.6,42.7,18.66976164818394,17.365795806488233,Wide/Tight,0.18828370606701395,2.4000000000000057,0,0.084877156,0,0.13072246,0.084877156,-0.005224555
Frederik Rønnow,96.5,39.9,117.8,39.7,23.500212764994277,19.319452581204228,Wide/Tight,0.28808380984527027,2.200000000000003,1,0.0423987,0,0.044618316,0.0423987,0.07215135
Frederik Rønnow,88.2,45.5,117.6,39.6,32.27212419410907,13.932472611967473,Wide/Tight,0.879396502560966,2.4000000000000057,2,0.017574478,0,0.025396327,0.017574478,0.051443968
Frederik Rønnow,98.5,49.2,118.8,39.6,23.385679378628282,17.95150777676716,Wide/Tight,1.0724921775617338,1.2000000000000028,4,0.075614184,0,0.07199012,0.075614184,0.013980377
Frederik Rønnow,111.2,37.8,118.1,40.1,9.070832376358851,46.726566830010654,Central,0.8399747156556232,1.9000000000000057,1,0.11838936,0,0.12818243,0.11838936,0.005936709
Frederik Rønnow,107.5,39.1,117.7,40.3,12.532358118087753,35.33352136927222,Central,0.5323919649898663,2.299999999999997,1,0.11909147,0,0.14855829,0.11909147,0.0532479
Lukáš Hrádecký,96.5,33.7,118.1,39.9,24.329817097545142,18.077867912283637,Wide/Tight,0.5438051903272809,1.9000000000000057,0,0.048803795,0,0.048479404,0.048803795,0.06583877
Lukáš Hrádecký,112.4,31.4,119.1,38.5,11.476933388322855,27.71771245548215,Wide/Tight,0.27537776969553907,0.9000000000000057,0,0.061352093,0,0.05537976,0.061352093,0.018983567
Frederik Rønnow,109.3,36.4,118.9,39.1,11.289375536317324,37.526332095422134,Central,0.1590121142347698,1.0999999999999943,2,0.047790155,0,0.029513458,0.047790155,-0.073830396
Lukáš Hrádecký,105.8,35.8,117.8,40.0,14.808105888330218,29.19799141572165,Wide/Tight,0.8612155355038311,2.200000000000003,1,0.08249883,0,0.08182163,0.08249883,0.030632902
Frederik Rønnow,94.2,28.2,118.7,38.7,28.37040711727627,14.662022001167848,Wide/Tight,0.44372152612902305,1.2999999999999972,1,0.024627369,0,0.027788395,0.024627369,0.058915086
Frederik Rønnow,101.5,44.6,118.3,40.3,19.063315556324405,23.074470804484797,Wide/Tight,0.2911373483903712,1.7000000000000028,3,0.058214318,0,0.06384171,0.058214318,0.03013326
Frederik Rønnow,107.4,42.0,118.8,39.7,12.757742747053644,34.48266749325332,Wide/Tight,0.6460546515799601,1.2000000000000028,2,0.07385045,0,0.0745201,0.07385045,0.01730719
Frederik Rønnow,110.4,39.3,119.2,39.7,9.625487000666507,45.05600758676798,Central,0.14682731316046177,0.7999999999999972,2,0.11288635,0,0.10859252,0.11288635,0.0046910765
Frederik Rønnow,110.1,55.2,117.5,43.4,18.13973538947027,14.197621419711883,Wide/Tight,0.5548376707632503,2.5,1,0.04973654,0,0.04386914,0.04973654,0.0639551
Lukáš Hrádecký,96.3,33.9,118.2,39.9,24.472433471152808,18.018162855050218,Wide/Tight,0.4948808386268144,1.7999999999999972,5,0.02534401,0,0.031091057,0.02534401,0.058761068
Frederik Rønnow,113.4,28.8,118.2,35.4,12.999999999999996,19.03945395983995,Wide/Tight,0.43232102075106216,1.7999999999999972,0,0.15474533,0,0.18006201,0.15474533,0.04070654
Frederik Rønnow,113.8,33.8,118.7,38.0,8.768124086713193,39.17030606595141,Central,0.16662787837080106,1.2999999999999972,1,0.066974714,0,0.07714217,0.066974714,-0.014351374
Lukáš Hrádecký,92.9,48.5,117.3,40.1,28.401760508813528,15.333697880394823,Wide/Tight,0.8563808410605427,2.700000000000003,0,0.03212382,0,0.029219018,0.03212382,0.038153365
Lukáš Hrádecký,104.3,55.1,118.1,41.8,21.78302091079197,15.319599286693093,Wide/Tight,0.3420652084319471,1.9000000000000057,1,0.0149242785,0,0.03254333,0.0149242785,0.041458696
Frederik Rønnow,102.7,45.4,117.2,41.2,18.12318956475377,23.8909895171061,Wide/Tight,0.11016666317917867,2.799999999999997,0,0.16930944,0,0.21118654,0.16930944,-0.04040849
Lukáš Hrádecký,111.8,35.8,119.2,39.1,9.213034245024822,43.60281897270361,Central,0.1181757895737503,0.7999999999999972,1,0.07846915,0,0.06835391,0.07846915,-0.10552696
Frederik Rønnow,112.9,44.3,118.5,40.9,8.300602387778847,47.036093616670016,Central,0.6081308601455957,1.5,0,0.12810047,0,0.110706665,0.12810047,-0.065421045
Frederik Rønnow,86.9,41.1,118.0,40.3,33.118272901828675,13.766255676841324,Wide/Tight,0.21855725419895755,2.0,0,0.028277397,0,0.020460492,0.028277397,-0.09141973
Frederik Rønnow,104.0,49.0,117.5,42.2,18.35755975068582,21.739834249968187,Wide/Tight,0.3928861146204232,2.5,1,0.055857755,0,0.07250734,0.055857755,0.0283731
Frederik Rønnow,109.4,32.0,114.6,35.8,13.280060240827218,27.870341694721,Wide/Tight,0.17405250061006416,5.400000000000006,0,0.35172737,0,0.37371123,0.35172737,-0.09852567
Lukáš Hrádecký,114.1,37.7,119.0,38.7,6.33245607959503,62.951451612031725,Central,0.3373169476685176,1.0,2,0.14906467,0,0.1664932,0.14906467,0.023759995
Lukáš Hrádecký,112.2,34.3,118.5,38.7,9.66074531286277,38.901147006106186,Central,0.4269591513379667,1.5,3,0.05250199,0,0.039523434,0.05250199,0.041576773
Alexander Nübel,89.1,40.0,118.7,39.5,30.900000000000006,14.751823737787639,Wide/Tight,0.5,1.2999999999999972,0,0.027028669,0,0.022974309,0.027028669,0.041259587
Alexander Nübel,109.4,50.5,117.0,44.1,14.920120642943873,22.314968678374576,Wide/Tight,0.44612946042441415,3.0,0,0.22501284,0,0.23935719,0.22501284,0.03629234
Lukáš Hrádecký,93.0,47.4,118.6,40.9,27.995713957675736,15.713305805393295,Wide/Tight,0.36287497761709897,1.4000000000000057,1,0.01957796,0,0.032591075,0.01957796,0.045276284
Lukáš Hrádecký,110.8,40.2,118.6,40.7,9.202173656261875,46.98048184187213,Central,0.6425089323305135,1.4000000000000057,0,0.13983458,0,0.11904708,0.13983458,0.0027028513
Alexander Nübel,98.9,38.1,117.2,39.2,21.18537231204587,21.30580659809537,Wide/Tight,0.4892834052025883,2.799999999999997,1,0.07205808,0,0.11504035,0.07205808,0.041930247
Alexander Nübel,95.3,49.4,117.5,41.6,26.42820463065927,16.148110023152487,Wide/Tight,0.4300556736947243,2.5,1,0.027360361,0,0.031557713,0.027360361,0.05340185
Alexander Nübel,110.0,30.5,117.5,36.9,13.793114224133722,24.66035089004177,Wide/Tight,0.11455820301812292,2.5,1,0.29306918,0,0.2935637,0.29306918,-0.1384456
Alexander Nübel,108.0,37.0,117.4,35.9,12.36931687685298,35.020078854255445,Central,3.1468712803184236,2.5999999999999943,0,0.31083485,0,0.31162298,0.31083485,-0.027142623
Alexander Nübel,91.8,55.3,117.5,41.6,32.08317315977333,12.551196424896036,Wide/Tight,0.025981926559998314,2.5,2,0.011808117,0,0.019934833,0.011808117,-0.08365451
Alexander Nübel,96.1,29.1,119.4,40.1,26.2682317638626,15.837107237987293,Wide/Tight,0.5620834347469419,0.5999999999999943,2,0.06304603,0,0.060294468,0.06304603,0.05457004
Lukáš Hrádecký,108.7,53.5,116.7,44.5,17.605112893702213,17.095058154545505,Wide/Tight,0.04941015627590328,3.299999999999997,0,0.111039735,0,0.14757842,0.111039735,-0.006934507
Lukáš Hrádecký,108.2,26.4,117.6,43.3,18.00555469848124,17.02954430804748,Wide/Tight,4.439392480551078,2.4000000000000057,2,0.08203193,1,0.10345319,-0.91796807,0.00924325
Lukáš Hrádecký,97.0,57.2,117.3,42.4,28.720027855139698,12.815900049194243,Wide/Tight,0.072601898959471,2.700000000000003,2,0.017944433,0,0.01933903,0.017944433,-0.31444314
Lukáš Hrádecký,91.3,49.0,118.5,40.9,30.07806509734295,14.486048094945746,Wide/Tight,0.26869312178746707,1.5,1,0.020028373,0,0.022732079,0.020028373,-0.0046868697
